"Project: Harmful Algal Blooms"
"Calibrated: No"
"Requested start: 2008-06-30 15:00:00"
"Requested end: 2018-06-02 23:33:00"
"Request time: Sat,  2 Jun 2018 23:34:12 +0000"
"Other Notes: All times provided in UTC"

year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (C),Volume for counting (mL)
2008,07,21,14:24:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,2.370000 ,1.410000 ,1.440000 ,1.380000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.530000 ,NaN,NaN,NaN,0.600000 ,0.600000 ,0.600000 ,0.260000 ,5200.000000 ,0.000000 ,0.000000 ,4.000000 ,25.000000 ,20.000000 ,NaN
2008,07,21,14:50:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.340000 ,1.230000 ,1.210000 ,1.240000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.170000 ,0.010000 ,NaN,NaN,0.490000 ,0.490000 ,0.480000 ,0.190000 ,560.000000 ,1840.000000 ,240.000000 ,4.700000 ,50.000000 ,20.200000 ,NaN
2008,07,21,15:30:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,4.320000 ,2.004750 ,2.004750 ,NaN,200.000000 ,0.000000 ,NaN,2992.000000 ,1.010000 ,0.120000 ,21224.000000 ,3646.000000 ,NaN,NaN,NaN,0.440000 ,935.000000 ,9070.000000 ,0.000000 ,5.340000 ,NaN,20.000000 ,500.0000 
2008,07,22,16:30:00,34.408,-119.685,0.0,Stearns Wharf,1200.000000 ,0.000000 ,7.786000 ,1.140000 ,1.140000 ,NaN,200.000000 ,200.000000 ,0.000000 ,3500.000000 ,0.486000 ,0.220000 ,NaN,NaN,1.370000 ,1.370000 ,NaN,0.685000 ,600.000000 ,900.000000 ,2000.000000 ,8.684000 ,50.000000 ,18.800000 ,NaN
2008,07,24,15:40:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.240000 ,1.910000 ,1.930000 ,1.880000 ,NaN,NaN,NaN,NaN,0.160000 ,0.010000 ,NaN,NaN,0.610000 ,0.620000 ,0.590000 ,0.160000 ,NaN,NaN,NaN,4.200000 ,NaN,20.100000 ,NaN
2008,07,28,14:45:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,3.230000 ,1.640000 ,1.570000 ,1.710000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.810000 ,0.170000 ,NaN,NaN,0.650000 ,0.600000 ,0.700000 ,0.150000 ,0.000000 ,41598.000000 ,0.000000 ,3.000000 ,25.000000 ,22.000000 ,NaN
2008,07,28,15:00:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,0.140000 ,7.334450 ,7.334450 ,NaN,200.000000 ,374.000000 ,NaN,2805.000000 ,1.220000 ,0.080000 ,124729.000000 ,NaN,NaN,NaN,NaN,0.230000 ,0.000000 ,1683.000000 ,0.000000 ,5.300000 ,NaN,21.000000 ,500.0000 
2008,07,28,16:45:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.710000 ,2.410000 ,2.370000 ,2.440000 ,200.000000 ,160.000000 ,NaN,0.000000 ,0.210000 ,0.000000 ,NaN,NaN,0.390000 ,0.410000 ,0.360000 ,0.130000 ,960.000000 ,4880.000000 ,0.000000 ,4.700000 ,50.000000 ,22.400000 ,NaN
2008,07,28,17:00:00,34.408,-119.685,0.0,Stearns Wharf,4000.000000 ,250.000000 ,3.516000 ,2.760000 ,2.760000 ,NaN,200.000000 ,150.000000 ,0.000000 ,1000.000000 ,0.676000 ,0.212000 ,NaN,NaN,0.940000 ,0.940000 ,NaN,0.553000 ,4200.000000 ,0.000000 ,900.000000 ,8.233000 ,50.000000 ,19.400000 ,NaN
2008,07,31,16:00:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.630000 ,1.290000 ,1.290000 ,1.290000 ,NaN,NaN,NaN,NaN,0.190000 ,0.020000 ,NaN,NaN,0.470000 ,0.450000 ,0.480000 ,0.230000 ,NaN,NaN,NaN,5.100000 ,NaN,21.100000 ,NaN
2008,08,04,14:34:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,3.430000 ,2.020000 ,1.980000 ,2.060000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.460000 ,NaN,NaN,NaN,0.950000 ,0.900000 ,1.000000 ,0.190000 ,0.000000 ,0.000000 ,0.000000 ,5.000000 ,25.000000 ,23.000000 ,NaN
2008,08,04,14:50:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,3.940000 ,2.419530 ,2.419530 ,NaN,200.000000 ,94.000000 ,NaN,654.000000 ,1.320000 ,0.140000 ,6171.000000 ,2712.000000 ,NaN,NaN,NaN,0.450000 ,1683.000000 ,1776.000000 ,654.000000 ,4.810000 ,NaN,21.000000 ,500.0000 
2008,08,04,15:25:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.210000 ,1.900000 ,1.950000 ,1.850000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.080000 ,0.000000 ,NaN,NaN,0.380000 ,0.410000 ,0.350000 ,0.160000 ,480.000000 ,1200.000000 ,0.000000 ,4.400000 ,50.000000 ,23.000000 ,NaN
2008,08,05,16:20:00,34.408,-119.685,0.0,Stearns Wharf,500.000000 ,0.000000 ,1.442000 ,1.240000 ,1.240000 ,NaN,200.000000 ,700.000000 ,0.000000 ,18000.000000 ,0.498000 ,0.030000 ,NaN,NaN,0.580000 ,0.580000 ,NaN,0.261000 ,5000.000000 ,2300.000000 ,2700.000000 ,5.440000 ,50.000000 ,19.400000 ,NaN
2008,08,07,16:15:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.150000 ,1.480000 ,1.520000 ,1.430000 ,NaN,NaN,NaN,NaN,0.230000 ,0.010000 ,NaN,NaN,0.230000 ,0.220000 ,0.230000 ,0.210000 ,NaN,NaN,NaN,4.300000 ,NaN,23.900000 ,NaN
2008,08,11,15:00:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,1.260000 ,0.780000 ,0.070000 ,1.490000 ,200.000000 ,0.000000 ,NaN,15599.000000 ,0.490000 ,NaN,NaN,NaN,1.300000 ,2.100000 ,0.500000 ,0.320000 ,5200.000000 ,0.000000 ,0.000000 ,5.400000 ,25.000000 ,21.500000 ,NaN
2008,08,11,15:33:00,34.408,-119.685,0.0,Stearns Wharf,0.000000 ,0.000000 ,NaN,NaN,3.570000 ,NaN,200.000000 ,0.000000 ,NaN,0.000000 ,NaN,NaN,NaN,NaN,NaN,0.770000 ,NaN,NaN,19300.000000 ,24900.000000 ,0.000000 ,NaN,50.000000 ,17.500000 ,NaN
2008,08,11,16:00:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.410000 ,1.800000 ,1.910000 ,1.690000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.200000 ,0.010000 ,NaN,NaN,0.630000 ,0.660000 ,0.600000 ,0.330000 ,640.000000 ,9440.000000 ,2080.000000 ,3.300000 ,50.000000 ,22.000000 ,NaN
2008,08,11,16:45:00,34.408,-119.685,0.0,Stearns Wharf,0.000000 ,0.000000 ,1.527000 ,2.210000 ,2.210000 ,NaN,200.000000 ,400.000000 ,0.100000 ,65400.000000 ,0.372000 ,0.114000 ,NaN,NaN,0.460000 ,0.460000 ,NaN,0.483000 ,5000.000000 ,0.000000 ,540.000000 ,4.565000 ,50.000000 ,18.400000 ,NaN
2008,08,14,14:45:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.290000 ,0.880000 ,0.900000 ,0.860000 ,200.000000 ,NaN,NaN,NaN,0.170000 ,0.000000 ,NaN,NaN,0.240000 ,0.250000 ,0.230000 ,0.280000 ,NaN,NaN,NaN,3.500000 ,NaN,20.400000 ,NaN
2008,08,15,18:15:00,35.17,-120.741,0.0,Cal Poly Pier,3199.0000 ,9596.0000 ,NaN,4.19 ,4.20 ,4.18 ,250 ,0.0000 ,NaN,0 ,NaN,NaN,30922.0000 ,29856.0000 ,1.41 ,1.22 ,1.60 ,NaN,30922.0000 ,0.0000 ,3199.0000 ,NaN,25 ,14.9 ,NaN
2008,08,18,14:40:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,1.860000 ,2.158960 ,2.158960 ,NaN,200.000000 ,187.000000 ,NaN,6358.000000 ,1.050000 ,0.170000 ,374.000000 ,3272.000000 ,NaN,NaN,NaN,0.340000 ,1028.000000 ,374.000000 ,0.000000 ,4.220000 ,NaN,21.000000 ,500.0000 
2008,08,18,15:05:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.080000 ,1.820000 ,1.860000 ,1.780000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.160000 ,0.000000 ,NaN,NaN,0.440000 ,0.430000 ,0.440000 ,0.240000 ,400.000000 ,2640.000000 ,480.000000 ,3.300000 ,50.000000 ,24.400000 ,NaN
2008,08,18,16:03:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,3.240000 ,7.540000 ,6.810000 ,8.260000 ,200.000000 ,0.000000 ,NaN,103994.000000 ,0.530000 ,NaN,NaN,NaN,0.750000 ,1.100000 ,0.400000 ,0.320000 ,5200.000000 ,0.000000 ,0.000000 ,5.000000 ,25.000000 ,19.500000 ,NaN
2008,08,18,16:40:00,34.408,-119.685,0.0,Stearns Wharf,150.000000 ,0.000000 ,1.113000 ,1.640000 ,1.640000 ,NaN,200.000000 ,600.000000 ,0.000000 ,18500.000000 ,0.367000 ,0.153000 ,NaN,NaN,0.820000 ,0.820000 ,NaN,0.505000 ,7000.000000 ,0.000000 ,0.000000 ,6.755000 ,50.000000 ,18.900000 ,NaN
2008,08,19,16:00:00,35.17,-120.741,0.0,Cal Poly Pier,2133.0000 ,0.0000 ,NaN,7.74 ,8.15 ,7.33 ,250 ,0.0000 ,NaN,1066 ,NaN,NaN,0.0000 ,0.0000 ,1.81 ,2.08 ,1.54 ,NaN,21326.0000 ,24524.0000 ,41585.0000 ,NaN,25 ,15.5 ,NaN
2008,08,21,14:58:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.000000 ,1.770000 ,1.770000 ,1.760000 ,NaN,NaN,NaN,NaN,0.130000 ,0.000000 ,NaN,NaN,0.550000 ,0.540000 ,0.550000 ,0.250000 ,NaN,NaN,NaN,3.500000 ,NaN,21.900000 ,NaN
2008,08,25,15:05:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,1.090000 ,1.730000 ,1.730000 ,1.720000 ,NaN,0.000000 ,NaN,0.000000 ,0.190000 ,0.010000 ,NaN,NaN,0.470000 ,0.440000 ,0.490000 ,0.270000 ,160.000000 ,160.000000 ,0.000000 ,3.400000 ,50.000000 ,19.700000 ,NaN
2008,08,25,15:15:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,6.110000 ,4.730000 ,4.370000 ,5.090000 ,200.000000 ,0.000000 ,NaN,57197.000000 ,0.890000 ,0.210000 ,NaN,NaN,1.550000 ,1.700000 ,1.400000 ,0.310000 ,36398.000000 ,25998.000000 ,0.000000 ,3.000000 ,25.000000 ,20.000000 ,NaN
2008,08,25,17:00:00,34.408,-119.685,0.0,Stearns Wharf,300.000000 ,0.000000 ,3.221000 ,0.920000 ,0.920000 ,NaN,200.000000 ,150.000000 ,0.000000 ,9000.000000 ,0.509000 ,0.150000 ,NaN,NaN,0.640000 ,0.640000 ,NaN,0.569000 ,3500.000000 ,200.000000 ,1200.000000 ,8.279000 ,50.000000 ,19.600000 ,NaN
2008,08,26,14:45:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,1.050000 ,2.027280 ,2.027280 ,NaN,200.000000 ,187.000000 ,NaN,7760.000000 ,0.930000 ,0.060000 ,13464.000000 ,2712.000000 ,NaN,NaN,NaN,0.300000 ,4114.000000 ,0.000000 ,0.000000 ,3.930000 ,NaN,21.000000 ,500.0000 
2008,08,26,21:50:00,35.17,-120.741,0.0,Cal Poly Pier,0.0000 ,2133.0000 ,NaN,7.39 ,7.51 ,7.26 ,250 ,0.0000 ,NaN,0 ,NaN,NaN,187665.0000 ,106628.0000 ,0.94 ,0.94 ,0.95 ,NaN,8530.0000 ,38386.0000 ,8530.0000 ,NaN,25 ,17.8 ,NaN
2008,08,28,15:15:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,1.150000 ,1.780000 ,1.770000 ,1.780000 ,NaN,NaN,NaN,NaN,0.330000 ,0.000000 ,NaN,NaN,0.220000 ,0.210000 ,0.220000 ,0.230000 ,NaN,NaN,NaN,3.600000 ,NaN,22.600000 ,NaN
2008,09,02,15:20:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,2.840000 ,1.810000 ,1.620000 ,2.010000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.650000 ,NaN,NaN,NaN,1.150000 ,1.400000 ,0.900000 ,0.180000 ,5200.000000 ,46797.000000 ,0.000000 ,2.700000 ,25.000000 ,22.000000 ,NaN
2008,09,02,16:00:00,35.17,-120.741,0.0,Cal Poly Pier,12795.0000 ,0.0000 ,NaN,12.38 ,14.13 ,10.62 ,175 ,6398.0000 ,NaN,4265 ,NaN,NaN,181267.0000 ,194062.0000 ,2.13 ,2.46 ,1.80 ,NaN,379594.0000 ,0.0000 ,0.0000 ,NaN,25 ,16.0 ,NaN
2008,09,02,16:45:00,34.408,-119.685,0.0,Stearns Wharf,350.000000 ,0.000000 ,2.117000 ,2.400000 ,2.400000 ,NaN,200.000000 ,2000.000000 ,0.000000 ,2900.000000 ,0.501000 ,0.043000 ,NaN,NaN,0.720000 ,0.720000 ,NaN,0.246000 ,16900.000000 ,3300.000000 ,3500.000000 ,4.473000 ,50.000000 ,21.000000 ,NaN
2008,09,02,16:45:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.800000 ,1.350000 ,1.370000 ,1.330000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.170000 ,0.010000 ,NaN,NaN,0.210000 ,0.200000 ,0.220000 ,0.250000 ,80.000000 ,0.000000 ,0.000000 ,4.000000 ,50.000000 ,21.800000 ,NaN
2008,09,02,17:30:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,0.180000 ,NaN,NaN,NaN,200.000000 ,0.000000 ,NaN,0.000000 ,0.320000 ,0.070000 ,1309.000000 ,935.000000 ,NaN,NaN,NaN,0.180000 ,1122.000000 ,0.000000 ,0.000000 ,3.820000 ,NaN,22.500000 ,500.0000 
2008,09,04,15:05:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.260000 ,1.870000 ,1.870000 ,1.860000 ,NaN,NaN,NaN,NaN,0.170000 ,0.000000 ,NaN,NaN,0.220000 ,0.210000 ,0.220000 ,0.200000 ,NaN,NaN,NaN,3.800000 ,NaN,22.100000 ,NaN
2008,09,08,14:45:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.400000 ,1.660000 ,1.640000 ,1.680000 ,200.000000 ,80.000000 ,NaN,0.000000 ,0.140000 ,0.030000 ,NaN,NaN,0.300000 ,0.280000 ,0.310000 ,0.220000 ,720.000000 ,160.000000 ,0.000000 ,3.600000 ,50.000000 ,21.600000 ,NaN
2008,09,08,14:56:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,4.090000 ,2.500000 ,2.510000 ,2.480000 ,200.000000 ,0.000000 ,NaN,5200.000000 ,0.940000 ,0.310000 ,NaN,NaN,0.750000 ,0.700000 ,0.800000 ,0.160000 ,0.000000 ,0.000000 ,0.000000 ,NaN,25.000000 ,20.500000 ,NaN
2008,09,08,16:20:00,35.17,-120.741,0.0,Cal Poly Pier,4265.0000 ,10663.0000 ,NaN,24.21 ,23.96 ,24.46 ,175 ,14928.0000 ,NaN,2133 ,NaN,NaN,12795.0000 ,264437.0000 ,2.10 ,1.99 ,2.21 ,NaN,292160.0000 ,17060.0000 ,4265.0000 ,NaN,25 ,16.3 ,NaN
2008,09,08,16:45:00,34.408,-119.685,0.0,Stearns Wharf,0.000000 ,0.000000 ,2.454000 ,5.470000 ,5.470000 ,NaN,200.000000 ,700.000000 ,0.000000 ,43400.000000 ,0.496000 ,0.151000 ,NaN,NaN,1.560000 ,1.560000 ,NaN,0.600000 ,24200.000000 ,150.000000 ,300.000000 ,7.639000 ,50.000000 ,17.800000 ,NaN
2008,09,08,21:50:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,0.960000 ,1.603800 ,1.603800 ,NaN,200.000000 ,94.000000 ,NaN,0.000000 ,0.450000 ,0.050000 ,4956.000000 ,935.000000 ,NaN,NaN,NaN,0.260000 ,1870.000000 ,187.000000 ,0.000000 ,4.470000 ,NaN,22.000000 ,500.0000 
2008,09,11,15:55:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.390000 ,1.920000 ,1.930000 ,1.910000 ,NaN,NaN,NaN,NaN,0.160000 ,0.010000 ,NaN,NaN,0.290000 ,0.280000 ,0.290000 ,0.210000 ,NaN,NaN,NaN,3.400000 ,NaN,22.000000 ,NaN
2008,09,15,14:50:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.220000 ,3.880000 ,3.950000 ,3.800000 ,200.000000 ,240.000000 ,NaN,160.000000 ,0.160000 ,0.010000 ,NaN,NaN,0.510000 ,0.460000 ,0.560000 ,0.230000 ,1920.000000 ,960.000000 ,0.000000 ,3.900000 ,50.000000 ,19.200000 ,NaN
2008,09,15,16:30:00,34.008,-118.499,0.0,Santa Monica Pier,0.000000 ,0.000000 ,1.120000 ,3.207600 ,3.207600 ,NaN,200.000000 ,187.000000 ,NaN,654.000000 ,0.740000 ,0.200000 ,3366.000000 ,6078.000000 ,NaN,NaN,NaN,0.360000 ,7200.000000 ,374.000000 ,0.000000 ,4.990000 ,NaN,19.300000 ,500.0000 
2008,09,15,16:45:00,34.408,-119.685,0.0,Stearns Wharf,1300.000000 ,320.000000 ,2.317000 ,4.900000 ,4.900000 ,NaN,200.000000 ,920.000000 ,0.000000 ,18000.000000 ,0.541000 ,0.217000 ,NaN,NaN,1.700000 ,1.700000 ,NaN,0.606000 ,39000.000000 ,340.000000 ,0.000000 ,6.923000 ,50.000000 ,17.400000 ,NaN
2008,09,16,17:32:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,6.560000 ,2.170000 ,2.030000 ,2.320000 ,200.000000 ,0.000000 ,NaN,10399.000000 ,1.060000 ,0.220000 ,NaN,NaN,1.100000 ,1.000000 ,1.200000 ,0.220000 ,36398.000000 ,0.000000 ,0.000000 ,2.000000 ,25.000000 ,18.000000 ,NaN
2008,09,16,18:44:00,35.17,-120.741,0.0,Cal Poly Pier,17060.0000 ,12795.0000 ,35.60 ,NaN,NaN,NaN,95 ,14928.0000 ,NaN,0 ,0.02 ,0.17 ,17060.0000 ,1720970.0000 ,NaN,NaN,NaN,2.95 ,27723.0000 ,0.0000 ,0.0000 ,116.00 ,25 ,15.5 ,NaN
2008,09,18,14:55:00,32.867,-117.257,0.0,Scripps Pier,NaN,NaN,0.430000 ,1.780000 ,1.750000 ,1.810000 ,NaN,NaN,NaN,NaN,0.160000 ,0.010000 ,NaN,NaN,0.370000 ,0.350000 ,0.380000 ,0.320000 ,NaN,NaN,NaN,4.500000 ,NaN,18.500000 ,NaN
2008,09,22,14:45:00,32.867,-117.257,0.0,Scripps Pier,0.000000 ,0.000000 ,0.180000 ,2.150000 ,2.140000 ,2.150000 ,200.000000 ,0.000000 ,NaN,0.000000 ,0.130000 ,0.020000 ,NaN,NaN,0.370000 ,0.380000 ,0.350000 ,0.250000 ,1200.000000 ,480.000000 ,0.000000 ,4.200000 ,50.000000 ,19.000000 ,NaN
2008,09,22,15:27:00,33.6061,-117.9311,0.0,Newport Pier,0.000000 ,0.000000 ,3.050000 ,1.280000 ,1.260000 ,1.300000 ,200.000000 ,0.000000 ,NaN,0.000000 ,1.190000 ,0.390000 ,NaN,NaN,0.500000 ,0.700000 ,0.300000 ,0.380000 ,0.000000 ,0.000000 ,0.000000 ,1.500000 ,25.000000 ,21.000000 ,NaN
2008,09,22,16:15:00,35.17,-120.741,0.0,Cal Poly Pier,4265.0000 ,0.0000 ,0.20 ,28.83 ,31.50 ,26.16 ,150 ,2133.0000 ,NaN,0 ,6.04 ,0.74 ,76772.0000 ,452101.0000 ,-0.27 ,-0.21 ,-0.33 ,1.34 ,8530.0000 ,21326.0000 ,6398.0000 ,90.37 ,25 ,14.1 ,NaN
